STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/20/2013,12.08,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,38,",,X",25,",,X",,,290,",,X",280,",,X",21.9,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/21/2013,10.07,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,34,",,X",24,",,X",,,310,",,X",270,",,X",21,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/22/2013,7.16,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,38,",,X",25,",,X",,,40,",,X",40,",,X",16.1,",,X",23.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/23/2013,8.95,",,X",,,0.26,",,X,2400",0,",,X,",0,",,X,",,,42,",,X",36,",,X",,,60,",,X",70,",,X",21,",,X",30,",,X",1,",,W",,,,,,,,,,,1,",,X",,,1,",,X",,,1,",,X",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/24/2013,7.16,",,X",,,0.01,",,X,2400",0,",,X,",0,",,X,",,,47,",,X",34,",,X",,,310,",,X",320,",,X",17,",,X",32,",,X",1,",,W",,,,,,,,,,,1,",,X",1,",,X",,,,,1,",,X",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/25/2013,4.7,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,45,",,X",32,",,X",,,310,",,X",20,",,X",12.1,",,X",17.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/26/2013,7.61,",,X",,,0.14,",,X,2400",0,",,X,",0,",,X,",,,44,",,X",35,",,X",,,70,",,X",80,",,X",19.9,",,X",28,",,X",,,,,,,,,,,1,",,X",1,",,X",,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/27/2013,11.18,",,X",,,1.56,",,X,2400",0,",,X,",0,",,X,",,,47,",,X",36,",,X",,,70,",,X",50,",,X",23.9,",,X",36.9,",,X",1,",,W",,,,,,,,,,,1,",,X",,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/28/2013,4.47,",,X",,,0,"T,,X,2400",0,",,X,",0,",,X,",,,51,",,X",39,",,X",,,290,",,X",280,",,X",12.1,",,X",19,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/1/2013,5.37,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,45,",,X",36,",,X",,,310,",,X",300,",,X",15,",,X",23,",,X",,,,,,,,,,,,,,,,,,,,,,,,
